time, datetime_utc, mode, layer, level, winner_team, winner_faction, winner_subfaction, winner_tickets, loser_team, loser_faction, loser_subfaction, loser_tickets
"Sat Oct 08 2022 00:30:17 GMT-0400 (Eastern Daylight Time)","2022-10-08 04:30:17", "RAAS", "Fallujah RAAS v1", "Fallujah", "1", "United States Marine Corps", "USMC 31st Marine Expeditionary Unit", "139", "2", "Middle Eastern Alliance", "MEA 3rd King Qadesh Mechanized Infantry Brigade", "0"
"Sat Oct 08 2022 01:27:44 GMT-0400 (Eastern Daylight Time)","2022-10-08 05:27:44", "AAS", "Narva AAS v2", "Narva", "1", "British Army", "British Armed Forces", "24", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Sat Oct 08 2022 01:58:06 GMT-0400 (Eastern Daylight Time)","2022-10-08 05:58:06", "RAAS", "Black Coast RAAS v1", "Black Coast", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "330", "1", "United States Marine Corps", "USMC 4th Assault Amphibian Battalion", "0"
"Sat Oct 08 2022 02:42:13 GMT-0400 (Eastern Daylight Time)","2022-10-08 06:42:13", "RAAS", "Mutaha RAAS v1", "Mutaha", "1", "United States Army", "US Brigade Combat Team", "179", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Sat Oct 08 2022 03:18:27 GMT-0400 (Eastern Daylight Time)","2022-10-08 07:18:27", "RAAS", "Gorodok RAAS v1", "Gorodok", "2", "Russian Ground Forces", "Russian battalion tactical group", "395", "1", "United States Army", "US Brigade Combat Team", "0"
"Sat Oct 08 2022 04:00:48 GMT-0400 (Eastern Daylight Time)","2022-10-08 08:00:48", "AAS", "Chora AAS v1", "Chora", "1", "United States Army", "US Brigade Combat Team", "225", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Sat Oct 08 2022 04:51:45 GMT-0400 (Eastern Daylight Time)","2022-10-08 08:51:45", "RAAS", "Yehorivka RAAS v1", "Yehorivka", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "364", "1", "United States Marine Corps", "USMC 1st Battalion, 5th Marines", "0"
"Sat Oct 08 2022 06:23:21 GMT-0400 (Eastern Daylight Time)","2022-10-08 10:23:21", "Invasion", "Black Coast Invasion v3", "Black Coast", "2", "Irregular Militia Forces", "The Peoples' Front Militia", "800", "1", "Canadian Army", "CAF 3rd Battalion RCR Air Assault Platoon", "200"
"Sat Oct 08 2022 12:27:50 GMT-0400 (Eastern Daylight Time)","2022-10-08 16:27:50", "Seed", "Fallujah Seed v1", "Fallujah", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "61", "1", "United States Army", "US Brigade Combat Team", "55"
"Sat Oct 08 2022 13:13:04 GMT-0400 (Eastern Daylight Time)","2022-10-08 17:13:04", "RAAS", "Mutaha RAAS v2", "Mutaha", "1", "Australian Defence Force", "ADF 3rd Brigade", "44", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Sat Oct 08 2022 14:00:10 GMT-0400 (Eastern Daylight Time)","2022-10-08 18:00:10", "RAAS", "Kohat Toi RAAS v7", "Kohat Toi", "1", "Russian Ground Forces", "Russian battalion tactical group", "61", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Sat Oct 08 2022 14:42:47 GMT-0400 (Eastern Daylight Time)","2022-10-08 18:42:47", "RAAS", "Fallujah RAAS v5", "Fallujah", "1", "Canadian Army", "CAF 1 Canadian Mechanized Brigade Group", "300", "2", "Middle Eastern Alliance", "MEA 1st Battalion, Legion of Babylon", "299"
"Sat Oct 08 2022 15:13:21 GMT-0400 (Eastern Daylight Time)","2022-10-08 19:13:21", "Seed", "Fallujah Seed v1", "Fallujah", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "5", "1", "United States Army", "US Brigade Combat Team", "0"
"Sat Oct 08 2022 15:54:49 GMT-0400 (Eastern Daylight Time)","2022-10-08 19:54:49", "AAS", "Fallujah AAS v2", "Fallujah", "1", "United States Marine Corps", "USMC 31st Marine Expeditionary Unit", "266", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Sat Oct 08 2022 16:14:49 GMT-0400 (Eastern Daylight Time)","2022-10-08 20:14:49", "Invasion", "Mestia Invasion v1", "Mestia", "2", "Irregular Militia Forces", "Local Militia Group", "713", "1", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Sat Oct 08 2022 17:14:05 GMT-0400 (Eastern Daylight Time)","2022-10-08 21:14:05", "Invasion", "Fallujah Invasion v3", "Fallujah", "1", "United States Marine Corps", "USMC 1st Battalion, 5th Marines", "336", "2", "Insurgent Forces", "Insurgent Homeland Freedom Fighters", "0"
"Sat Oct 08 2022 17:55:18 GMT-0400 (Eastern Daylight Time)","2022-10-08 21:55:18", "RAAS", "Fool's Road RAAS v5", "Fool's Road", "1", "Canadian Army", "CAF Canadian Combat Support Brigade", "162", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Sat Oct 08 2022 18:40:46 GMT-0400 (Eastern Daylight Time)","2022-10-08 22:40:46", "RAAS", "Gorodok RAAS v7", "Gorodok", "2", "Russian Ground Forces", "RUS 6th Separate Czestochowa Tank Brigade ", "104", "1", "Australian Defence Force", "ADF 1st Armored", "0"
"Sat Oct 08 2022 19:19:48 GMT-0400 (Eastern Daylight Time)","2022-10-08 23:19:48", "RAAS", "Black Coast RAAS v1", "Black Coast", "1", "United States Marine Corps", "USMC 4th Assault Amphibian Battalion", "128", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Sat Oct 08 2022 19:55:35 GMT-0400 (Eastern Daylight Time)","2022-10-08 23:55:35", "RAAS", "Sumari Bala RAAS v2", "Sumari Bala", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "148", "1", "British Army", "British Armed Forces", "0"
"Sat Oct 08 2022 20:44:48 GMT-0400 (Eastern Daylight Time)","2022-10-09 00:44:48", "TC", "Lashkar TC v2", "Lashkar Valley", "1", "United States Army", "US Brigade Combat Team", "23", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Sat Oct 08 2022 21:16:11 GMT-0400 (Eastern Daylight Time)","2022-10-09 01:16:11", "RAAS", "Narva RAAS v1", "Narva", "2", "Russian Ground Forces", "Russian battalion tactical group", "201", "1", "United States Army", "US Brigade Combat Team", "0"
"Sat Oct 08 2022 22:02:15 GMT-0400 (Eastern Daylight Time)","2022-10-09 02:02:15", "RAAS", "Yehorivka RAAS v2", "Yehorivka", "1", "United States Army", "US Brigade Combat Team", "175", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Sat Oct 08 2022 22:39:12 GMT-0400 (Eastern Daylight Time)","2022-10-09 02:39:12", "AAS", "Anvil AAS v1", "Anvil", "2", "Russian Ground Forces", "Russian Battalion Tactical Group", "191", "1", "Australian Defence Force", "ADF 5th Battalion, Royal Australian Regiment", "0"
"Sat Oct 08 2022 23:20:26 GMT-0400 (Eastern Daylight Time)","2022-10-09 03:20:26", "AAS", "Belaya AAS v3", "Belaya Pass", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "183", "1", "Canadian Army", "CAF 1 Canadian Mechanized Brigade Group", "0"
"Sat Oct 08 2022 23:52:50 GMT-0400 (Eastern Daylight Time)","2022-10-09 03:52:50", "RAAS", "Mutaha RAAS v3", "Mutaha", "1", "British Army", "UK 1st Battalion, Grenadier Guards", "277", "2", "Middle Eastern Alliance", "MEA 3rd King Qadesh Mechanized Infantry Brigade", "0"
"Sun Oct 09 2022 00:40:07 GMT-0400 (Eastern Daylight Time)","2022-10-09 04:40:07", "AAS", "Goose Bay AAS v2", "Goose Bay", "2", "Russian Ground Forces", "RUS 205th Rifle Division Reconaissance Platoon", "233", "1", "Canadian Army", "CAF Royal Newfoundland Regiment", "0"
"Sun Oct 09 2022 01:17:14 GMT-0400 (Eastern Daylight Time)","2022-10-09 05:17:14", "RAAS", "Gorodok RAAS v3", "Gorodok", "1", "United States Army", "US Brigade Combat Team", "199", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Sun Oct 09 2022 01:49:46 GMT-0400 (Eastern Daylight Time)","2022-10-09 05:49:46", "RAAS", "Fallujah RAAS v1", "Fallujah", "2", "Middle Eastern Alliance", "MEA 3rd King Qadesh Mechanized Infantry Brigade", "199", "1", "United States Marine Corps", "USMC 31st Marine Expeditionary Unit", "0"
"Sun Oct 09 2022 02:22:47 GMT-0400 (Eastern Daylight Time)","2022-10-09 06:22:47", "RAAS", "Yehorivka RAAS v4", "Yehorivka", "2", "Russian Ground Forces", "Russian battalion tactical group", "152", "1", "United States Army", "US Brigade Combat Team", "0"
"Sun Oct 09 2022 03:04:00 GMT-0400 (Eastern Daylight Time)","2022-10-09 07:04:00", "RAAS", "Black Coast RAAS v1", "Black Coast", "1", "United States Marine Corps", "USMC 4th Assault Amphibian Battalion", "385", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Sun Oct 09 2022 03:53:12 GMT-0400 (Eastern Daylight Time)","2022-10-09 07:53:12", "AAS", "Chora AAS v1", "Chora", "1", "United States Army", "US Brigade Combat Team", "90", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Sun Oct 09 2022 04:37:53 GMT-0400 (Eastern Daylight Time)","2022-10-09 08:37:53", "RAAS", "Mutaha RAAS v1", "Mutaha", "1", "United States Army", "US Brigade Combat Team", "100", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Sun Oct 09 2022 05:25:22 GMT-0400 (Eastern Daylight Time)","2022-10-09 09:25:22", "RAAS", "Kokan RAAS v1", "Kokan", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "147", "1", "United States Army", "US Brigade Combat Team", "0"
"Sun Oct 09 2022 09:13:00 GMT-0400 (Eastern Daylight Time)","2022-10-09 13:13:00", "Invasion", "Kohat Toi Invasion v1", "Kohat Toi", "2", "Insurgent Forces", "Local Insurgent Cell", "777", "1", "United States Army", "US Brigade Combat Team", "200"
"Sun Oct 09 2022 12:19:12 GMT-0400 (Eastern Daylight Time)","2022-10-09 16:19:12", "AAS", "Chora AAS v2", "Chora", "2", "Russian Ground Forces", "RUS 205th Motorized Rifle Platoon", "86", "1", "United States Marine Corps", "USMC 3rd Light Armored Recon Battalion", "0"
"Sun Oct 09 2022 13:12:23 GMT-0400 (Eastern Daylight Time)","2022-10-09 17:12:23", "RAAS", "Yehorivka RAAS v10", "Yehorivka", "1", "Canadian Army", "CAF Royal 22e Régiment Mechanized Platoon", "67", "2", "Russian Ground Forces", "RUS 108th Guards Airborne Kuban Cossack Regiment", "0"
"Sun Oct 09 2022 13:53:26 GMT-0400 (Eastern Daylight Time)","2022-10-09 17:53:26", "AAS", "Narva AAS v2", "Narva", "2", "Russian Ground Forces", "Russian battalion tactical group", "85", "1", "British Army", "British Armed Forces", "0"
"Sun Oct 09 2022 14:34:00 GMT-0400 (Eastern Daylight Time)","2022-10-09 18:34:00", "TC", "Al Basrah TC v2", "Al Basrah", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "118", "1", "United States Army", "US Brigade Combat Team", "0"
"Sun Oct 09 2022 15:10:13 GMT-0400 (Eastern Daylight Time)","2022-10-09 19:10:13", "AAS", "Goose Bay AAS v1", "Goose Bay", "1", "Canadian Army", "CAF Royal 22e Régiment Mechanized Platoon", "220", "2", "Russian Ground Forces", "RUS 205th Motorized Rifle Platoon", "0"
"Sun Oct 09 2022 15:35:18 GMT-0400 (Eastern Daylight Time)","2022-10-09 19:35:18", "AAS", "Mestia AAS v2", "Mestia", "1", "United States Army", "US Brigade Combat Team", "237", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Sun Oct 09 2022 16:39:01 GMT-0400 (Eastern Daylight Time)","2022-10-09 20:39:01", "RAAS", "Kohat Toi RAAS v5", "Kohat Toi", "2", "Russian Ground Forces", "Russian battalion tactical group", "51", "1", "United States Army", "US Brigade Combat Team", "0"
"Sun Oct 09 2022 17:21:24 GMT-0400 (Eastern Daylight Time)","2022-10-09 21:21:24", "Invasion", "Black Coast Invasion v3", "Black Coast", "2", "Irregular Militia Forces", "The Peoples' Front Militia", "453", "1", "Canadian Army", "CAF 3rd Battalion RCR Air Assault Platoon", "0"
"Sun Oct 09 2022 17:56:15 GMT-0400 (Eastern Daylight Time)","2022-10-09 21:56:15", "AAS", "Chora AAS v2", "Chora", "1", "United States Marine Corps", "USMC 3rd Light Armored Recon Battalion", "106", "2", "Russian Ground Forces", "RUS 205th Motorized Rifle Platoon", "0"
"Sun Oct 09 2022 18:25:41 GMT-0400 (Eastern Daylight Time)","2022-10-09 22:25:41", "AAS", "Logar AAS v2", "Logar Valley", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "133", "1", "United States Army", "US Brigade Combat Team", "0"
"Sun Oct 09 2022 18:56:16 GMT-0400 (Eastern Daylight Time)","2022-10-09 22:56:16", "AAS", "Narva AAS v2", "Narva", "1", "British Army", "British Armed Forces", "265", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Sun Oct 09 2022 19:29:12 GMT-0400 (Eastern Daylight Time)","2022-10-09 23:29:12", "RAAS", "Mutaha RAAS v2", "Mutaha", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "223", "1", "Australian Defence Force", "ADF 3rd Brigade", "0"
"Sun Oct 09 2022 20:13:17 GMT-0400 (Eastern Daylight Time)","2022-10-10 00:13:17", "RAAS", "Yehorivka RAAS v1", "Yehorivka", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "208", "1", "United States Marine Corps", "USMC 1st Battalion, 5th Marines", "0"
"Sun Oct 09 2022 21:02:48 GMT-0400 (Eastern Daylight Time)","2022-10-10 01:02:48", "RAAS", "Black Coast RAAS v4", "Black Coast", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "80", "1", "Canadian Army", "CAF 1 Canadian Mechanized Brigade Group", "0"
"Sun Oct 09 2022 21:34:01 GMT-0400 (Eastern Daylight Time)","2022-10-10 01:34:01", "AAS", "Kokan AAS v2", "Kokan", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "109", "1", "British Army", "British Armed Forces", "0"
"Sun Oct 09 2022 22:10:34 GMT-0400 (Eastern Daylight Time)","2022-10-10 02:10:34", "AAS", "Skorpo AAS v1", "Skorpo", "1", "United States Army", "US Brigade Combat Team", "203", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Sun Oct 09 2022 22:58:05 GMT-0400 (Eastern Daylight Time)","2022-10-10 02:58:05", "AAS", "Gorodok AAS v4", "Gorodok", "1", "United States Marine Corps", "USMC 1st Battalion, 1st Marines", "88", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Sun Oct 09 2022 23:36:44 GMT-0400 (Eastern Daylight Time)","2022-10-10 03:36:44", "AAS", "Narva AAS v1", "Narva", "2", "Russian Ground Forces", "Russian battalion tactical group", "104", "1", "United States Army", "US Brigade Combat Team", "0"
"Mon Oct 10 2022 00:07:26 GMT-0400 (Eastern Daylight Time)","2022-10-10 04:07:26", "RAAS", "Fallujah RAAS v1", "Fallujah", "1", "United States Marine Corps", "USMC 31st Marine Expeditionary Unit", "422", "2", "Middle Eastern Alliance", "MEA 3rd King Qadesh Mechanized Infantry Brigade", "0"
"Mon Oct 10 2022 00:46:09 GMT-0400 (Eastern Daylight Time)","2022-10-10 04:46:09", "AAS", "Sumari Bala AAS v5", "Sumari Bala", "2", "Middle Eastern Alliance", "MEA Vizir Hussein 2nd Support Battalion", "84", "1", "United States Marine Corps", "USMC 1st Battalion, 5th Marines", "0"
"Mon Oct 10 2022 01:40:40 GMT-0400 (Eastern Daylight Time)","2022-10-10 05:40:40", "RAAS", "Gorodok RAAS v8", "Gorodok", "2", "Irregular Militia Forces", "Allied Republican Army Militia", "82", "1", "Australian Defence Force", "ADF 1st Battalion, Royal Australian Regiment", "0"
"Mon Oct 10 2022 03:01:45 GMT-0400 (Eastern Daylight Time)","2022-10-10 07:01:45", "Invasion", "Goose Bay Invasion v4", "Goose Bay", "1", "United States Marine Corps", "USMC 4th Assault Amphibian Battalion", "320", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Mon Oct 10 2022 03:54:12 GMT-0400 (Eastern Daylight Time)","2022-10-10 07:54:12", "RAAS", "Yehorivka RAAS v6", "Yehorivka", "2", "Russian Ground Forces", "Russian battalion tactical group", "149", "1", "United States Army", "US Brigade Combat Team", "0"
"Mon Oct 10 2022 04:37:43 GMT-0400 (Eastern Daylight Time)","2022-10-10 08:37:43", "AAS", "Mutaha AAS v4", "Mutaha", "1", "Canadian Army", "CAF Royal 22e Régiment Mechanized Platoon", "244", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Mon Oct 10 2022 06:26:36 GMT-0400 (Eastern Daylight Time)","2022-10-10 10:26:36", "Invasion", "Al Basrah Invasion v2", "Al Basrah", "2", "Insurgent Forces", "Insurgent Rebel Federation", "900", "1", "United States Marine Corps", "USMC 1st Battalion, 1st Marines", "200"
"Mon Oct 10 2022 11:57:58 GMT-0400 (Eastern Daylight Time)","2022-10-10 15:57:58", "Seed", "Al Basrah Seed v1", "Al Basrah", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "75", "1", "British Army", "British Armed Forces", "61"
"Mon Oct 10 2022 12:31:15 GMT-0400 (Eastern Daylight Time)","2022-10-10 16:31:15", "Skirmish", "Tallil Outskirts Skirmish v3", "Tallil Outskirts", "2", "Insurgent Forces", "Local Insurgent Cell", "11", "1", "Irregular Militia Forces", "Local Militia Group", "0"
"Mon Oct 10 2022 13:17:19 GMT-0400 (Eastern Daylight Time)","2022-10-10 17:17:19", "AAS", "Narva AAS v4", "Narva", "1", "United States Marine Corps", "USMC 3rd Battalion, 2nd Marines", "45", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Mon Oct 10 2022 13:51:52 GMT-0400 (Eastern Daylight Time)","2022-10-10 17:51:52", "AAS", "Mestia AAS v1", "Mestia", "1", "Russian Ground Forces", "Russian battalion tactical group", "222", "2", "Irregular Militia Forces", "Local Militia Group", "0"
"Mon Oct 10 2022 14:36:42 GMT-0400 (Eastern Daylight Time)","2022-10-10 18:36:42", "RAAS", "Yehorivka RAAS v1", "Yehorivka", "1", "United States Marine Corps", "USMC 1st Battalion, 5th Marines", "281", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Mon Oct 10 2022 15:20:33 GMT-0400 (Eastern Daylight Time)","2022-10-10 19:20:33", "AAS", "Chora AAS v3", "Chora", "2", "Russian Ground Forces", "Russian battalion tactical group", "68", "1", "United States Army", "US Brigade Combat Team", "0"
"Mon Oct 10 2022 15:56:40 GMT-0400 (Eastern Daylight Time)","2022-10-10 19:56:40", "AAS", "Belaya AAS v1", "Belaya Pass", "1", "Russian Ground Forces", "Russian battalion tactical group", "165", "2", "Irregular Militia Forces", "Local Militia Group", "0"
"Mon Oct 10 2022 16:35:45 GMT-0400 (Eastern Daylight Time)","2022-10-10 20:35:45", "RAAS", "Gorodok RAAS v1", "Gorodok", "2", "Russian Ground Forces", "Russian battalion tactical group", "234", "1", "United States Army", "US Brigade Combat Team", "0"
"Mon Oct 10 2022 17:16:33 GMT-0400 (Eastern Daylight Time)","2022-10-10 21:16:33", "RAAS", "Fallujah RAAS v2", "Fallujah", "1", "British Army", "British Armed Forces", "50", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Mon Oct 10 2022 18:01:18 GMT-0400 (Eastern Daylight Time)","2022-10-10 22:01:18", "RAAS", "Kamdesh RAAS v3", "Kamdesh Highlands", "1", "United States Army", "US Brigade Combat Team", "107", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Mon Oct 10 2022 18:35:48 GMT-0400 (Eastern Daylight Time)","2022-10-10 22:35:48", "AAS", "Sumari Bala AAS v3", "Sumari Bala", "1", "Australian Defence Force", "ADF 1st Battalion, Royal Australian Regiment", "171", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Mon Oct 10 2022 18:58:37 GMT-0400 (Eastern Daylight Time)","2022-10-10 22:58:37", "Invasion", "Al Basrah Invasion v7", "Al Basrah", "2", "Insurgent Forces", "Insurgent Mechanized Platoon", "685", "1", "Middle Eastern Alliance", "MEA 60th Prince Assur Armored Brigade", "0"
"Mon Oct 10 2022 19:47:11 GMT-0400 (Eastern Daylight Time)","2022-10-10 23:47:11", "RAAS", "Yehorivka RAAS v1", "Yehorivka", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "163", "1", "United States Marine Corps", "USMC 1st Battalion, 5th Marines", "0"
"Mon Oct 10 2022 20:21:56 GMT-0400 (Eastern Daylight Time)","2022-10-11 00:21:56", "AAS", "Kokan AAS v1", "Kokan", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "87", "1", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Mon Oct 10 2022 20:57:23 GMT-0400 (Eastern Daylight Time)","2022-10-11 00:57:23", "AAS", "Narva AAS v4", "Narva", "1", "United States Marine Corps", "USMC 3rd Battalion, 2nd Marines", "123", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Mon Oct 10 2022 21:35:23 GMT-0400 (Eastern Daylight Time)","2022-10-11 01:35:23", "RAAS", "Belaya RAAS v2", "Belaya Pass", "2", "Irregular Militia Forces", "United Liberation Force Militia", "144", "1", "United States Marine Corps", "USMC 3rd Light Armored Recon Battalion", "0"
"Mon Oct 10 2022 22:14:33 GMT-0400 (Eastern Daylight Time)","2022-10-11 02:14:33", "RAAS", "Black Coast RAAS v1", "Black Coast", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "157", "1", "United States Marine Corps", "USMC 4th Assault Amphibian Battalion", "0"
"Mon Oct 10 2022 22:48:31 GMT-0400 (Eastern Daylight Time)","2022-10-11 02:48:31", "AAS", "Chora AAS v2", "Chora", "1", "United States Marine Corps", "USMC 3rd Light Armored Recon Battalion", "223", "2", "Russian Ground Forces", "RUS 205th Motorized Rifle Platoon", "0"
"Mon Oct 10 2022 23:47:14 GMT-0400 (Eastern Daylight Time)","2022-10-11 03:47:14", "AAS", "Gorodok AAS v2", "Gorodok", "1", "British Army", "British Armed Forces", "19", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Tue Oct 11 2022 00:28:32 GMT-0400 (Eastern Daylight Time)","2022-10-11 04:28:32", "RAAS", "Mutaha RAAS v2", "Mutaha", "1", "Australian Defence Force", "ADF 3rd Brigade", "55", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Tue Oct 11 2022 01:23:24 GMT-0400 (Eastern Daylight Time)","2022-10-11 05:23:24", "AAS", "Goose Bay AAS v1", "Goose Bay", "2", "Russian Ground Forces", "RUS 205th Motorized Rifle Platoon", "5", "1", "Canadian Army", "CAF Royal 22e Régiment Mechanized Platoon", "0"
"Tue Oct 11 2022 02:03:16 GMT-0400 (Eastern Daylight Time)","2022-10-11 06:03:16", "RAAS", "Narva RAAS v1", "Narva", "2", "Russian Ground Forces", "Russian battalion tactical group", "259", "1", "United States Army", "US Brigade Combat Team", "0"
"Tue Oct 11 2022 02:45:01 GMT-0400 (Eastern Daylight Time)","2022-10-11 06:45:01", "RAAS", "Gorodok RAAS v10", "Gorodok", "1", "Canadian Army", "CAF 3rd Battalion RCR Air Assault Platoon", "149", "2", "Irregular Militia Forces", "The Peoples' Front Militia Mechanized Platoon", "0"
"Tue Oct 11 2022 03:19:56 GMT-0400 (Eastern Daylight Time)","2022-10-11 07:19:56", "RAAS", "Kokan RAAS v1", "Kokan", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "98", "1", "United States Army", "US Brigade Combat Team", "0"
"Tue Oct 11 2022 03:59:32 GMT-0400 (Eastern Daylight Time)","2022-10-11 07:59:32", "RAAS", "Kamdesh RAAS v6", "Kamdesh Highlands", "1", "Australian Defence Force", "ADF 3rd Brigade", "122", "2", "Russian Ground Forces", "RUS 6th Separate Czestochowa Tank Brigade ", "0"
"Tue Oct 11 2022 05:15:59 GMT-0400 (Eastern Daylight Time)","2022-10-11 09:15:59", "AAS", "Chora AAS v1", "Chora", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "372", "1", "United States Army", "US Brigade Combat Team", "0"
"Tue Oct 11 2022 05:54:24 GMT-0400 (Eastern Daylight Time)","2022-10-11 09:54:24", "RAAS", "Yehorivka RAAS v7", "Yehorivka", "1", "British Army", "British Armed Forces", "350", "2", "Russian Ground Forces", "Russian battalion tactical group", "349"
"Tue Oct 11 2022 13:18:23 GMT-0400 (Eastern Daylight Time)","2022-10-11 17:18:23", "Seed", "Tallil Outskirts Seed v2", "Tallil Outskirts", "1", "Canadian Army", "CAF Royal Westminster Regiment", "43", "2", "Insurgent Forces", "Local Insurgent Cell", "0"
"Tue Oct 11 2022 14:02:46 GMT-0400 (Eastern Daylight Time)","2022-10-11 18:02:46", "AAS", "Kokan AAS v3", "Kokan", "1", "Australian Defence Force", "ADF 1st Battalion, Royal Australian Regiment", "16", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Tue Oct 11 2022 14:42:30 GMT-0400 (Eastern Daylight Time)","2022-10-11 18:42:30", "AAS", "Black Coast AAS v1", "Black Coast", "1", "United States Marine Corps", "USMC 4th Assault Amphibian Battalion", "107", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Tue Oct 11 2022 15:24:35 GMT-0400 (Eastern Daylight Time)","2022-10-11 19:24:35", "AAS", "Gorodok AAS v4", "Gorodok", "1", "United States Marine Corps", "USMC 1st Battalion, 1st Marines", "34", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Tue Oct 11 2022 15:55:51 GMT-0400 (Eastern Daylight Time)","2022-10-11 19:55:51", "AAS", "Fool's Road AAS v1", "Fool's Road", "1", "United States Army", "US Brigade Combat Team", "186", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Tue Oct 11 2022 16:34:01 GMT-0400 (Eastern Daylight Time)","2022-10-11 20:34:01", "AAS", "Mutaha AAS v1", "Mutaha", "2", "Russian Ground Forces", "Russian battalion tactical group", "170", "1", "United States Army", "US Brigade Combat Team", "0"
"Tue Oct 11 2022 17:07:32 GMT-0400 (Eastern Daylight Time)","2022-10-11 21:07:32", "RAAS", "Narva RAAS v1", "Narva", "2", "Russian Ground Forces", "Russian battalion tactical group", "162", "1", "United States Army", "US Brigade Combat Team", "0"
"Tue Oct 11 2022 17:47:07 GMT-0400 (Eastern Daylight Time)","2022-10-11 21:47:07", "RAAS", "Belaya RAAS v4", "Belaya Pass", "1", "Canadian Army", "CAF 1 Canadian Mechanized Brigade Group", "183", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Tue Oct 11 2022 18:38:07 GMT-0400 (Eastern Daylight Time)","2022-10-11 22:38:07", "RAAS", "Kohat Toi RAAS v9", "Kohat Toi", "1", "Canadian Army", "CAF Royal Canadian Regiment Battle Group", "71", "2", "Insurgent Forces", "Local Insurgent Cell", "0"
"Tue Oct 11 2022 19:12:39 GMT-0400 (Eastern Daylight Time)","2022-10-11 23:12:39", "AAS", "Chora AAS v1", "Chora", "1", "United States Army", "US Brigade Combat Team", "196", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
